RelativePath                                                      AOM Annotation
\Utilities                                                        [P] Toolbox/Static Helpers {D} Reflection, IO, ShuntingYard (F) Snapshot -> Compare -> Format [S] Static / Transient
\Utilities\Utils.cs                                               [P] Global Toolbox {D} IO, Serialization, UI (F) FormatBytes -> ReadStr -> ByteArrayToStructure [S] Static
\Utilities\Extensions.cs                                          [P] Reflection Utility {D} MemberComparison [S] Static
\Utilities\Constants.cs                                           [P] Config Registry [S] Static Config
\Utilities\Units.cs                                               [P] Formatting Utility [S] Static Config
\Utilities\ObjectSnapshot.cs                                      [P] Memento Factory {D} reflection, JsonSerializer (F) CaptureSnapshot -> Compare [S] Transient Data
\Utilities\MemberComparison.cs                                    [P] Comparison DTO {D} MemberInfoPath (F) SetMemberValue [S] Transient Data
\Utilities\MemberInfoPath.cs                                      [P] Path Flyweight {D} ScriptMemberInfo (F) GetLastMember -> GetValue [S] Transient State
\Utilities\ShuntingYardParser.cs                                  [P] Interpreter {D} Tokenizer (F) Tokenize -> OrderTokens -> EvaluateRPN [S] Static Logic
\Utilities\QueryFilterHelper.cs                                   [P] Matching Engine (F) Match (Char Loop/Ranges) [S] Static
\Utilities\DuplicateScenes.cs                                     [P] Memento Helper {D} Level (F) Gather -> Create -> Restore [S] Transient Byte State
\Utilities\SelectionCache.cs                                      [P] State Helper {D} SceneGraphFactory (F) Cache -> Restore [S] Volatile Identifiers
\SceneGraph                                                       [P] ViewModel Proxy Layer {D} Actor, SceneGraphFactory (F) BuildTree -> RayCast -> Dispose [S] Living Session State
\SceneGraph\SceneGraphFactory.cs                                  [P] Dependency Injection/Factory {D} CustomNodesTypes (F) BuildActorNode (Reflection) [S] Static Registry
\SceneGraph\SceneGraphNode.cs                                     [P] Base Node {D} RayCastData, StateData (F) ParentSet -> RayCast -> Dispose [S] Persistent Identity (Guid)
\SceneGraph\ActorNode.cs                                          [P] ViewModel Proxy {D} Actor, ActorTreeNode (F) LinkNode -> PostSpawn -> RayCast [S] Managed Reference
\SceneGraph\RootNode.cs                                           [P] Tree Entry {D} RayCastData, ISceneEditingContext (F) RayCast -> Spawn [S] Global Session
\SceneGraph\LocalSceneGraph.cs                                    [P] Sandbox Manager {D} RootNode, Actor (F) MainActor Set -> BuildTree [S] Volatile lifecycle
\SceneGraph\SceneGraphTools.cs                                    [P] Graph Traversal Utility {D} SceneGraphNode (F) BuildNodesParents -> BuildAllNodes [S] Static
\SceneGraph\ActorChildNode.cs                                     [P] Composite Part {D} ActorNode (F) Unlink -> Dispose [S] Volatile UI Proxy
\SceneGraph\ActorNodeWithIcon.cs                                  [P] Visual Proxy {D} ViewportIconsRenderer (F) RayCastSelf (Sphere Hit) [S] Static Config
\SceneGraph\Actors\SceneNode.cs                                   [P] Scene Controller {D} Scene, SceneTreeNode (F) Save/Unload [S] Living/Edited
\SceneGraph\Actors\StaticModelNode.cs                             [P] Mesh Proxy {D} StaticModel, CollisionDataProxy (F) OnVertexSnap -> AddCollider [S] living
\SceneGraph\Actors\AnimatedModelNode.cs                           [P] Extension Proxy {D} Ragdoll (F) BuildRagdoll [S] Volatile
\SceneGraph\Actors\RigidBodyNode.cs                               [P] Physics Proxy {D} RigidBody [S] Volatile
\SceneGraph\Actors\ColliderNode.cs                                [P] Physics Proxy {D} Collider (F) RayCast (Filter triggers) [S] Volatile
\SceneGraph\Actors\BoxColliderNode.cs                             [P] Visual Controller {D} BoxCollider (F) AutoResize [S] Volatile
\SceneGraph\Actors\BoxBrushNode.cs                                [P] Geometry Controller {D} BoxBrush, SideLinkNode (F) SideLink.Transform -> Brush.Size [S] living
\SceneGraph\Actors\SplineNode.cs                                  [P] Hierarchical Controller {D} Spline, SplinePointNode (F) SyncKeyframes -> EditWithSnap [S] living
\SceneGraph\Actors\CameraNode.cs                                  [P] View Controller {D} Camera (F) OnContextMenu (Move to View) [S] Volatile
\SceneGraph\Actors\AudioSourceNode.cs                             [P] Actor Node Proxy {D} AudioSource [S] Volatile
\SceneGraph\Actors\AudioListenerNode.cs                           [P] Actor Node Proxy {D} AudioListener [S] Volatile
\SceneGraph\Actors\PointLightNode.cs                              [P] Actor Node Proxy {D} PointLight [S] Volatile
\SceneGraph\Actors\DirectionalLightNode.cs                        [P] Actor Node Proxy {D} DirectionalLight [S] Volatile
\SceneGraph\Actors\SpotLightNode.cs                               [P] Actor Node Proxy {D} SpotLight [S] Volatile
\SceneGraph\Actors\SkyLightNode.cs                                [P] Actor Node Proxy {D} SkyLight [S] Volatile
\SceneGraph\Actors\EnvironmentProbeNode.cs                        [P] Actor Node Proxy {D} EnvironmentProbe [S] Volatile
\SceneGraph\Actors\ExponentialHeightFogNode.cs                    [P] Actor Node Proxy {D} ExponentialHeightFog [S] Volatile
\SceneGraph\Actors\SkyNode.cs                                     [P] Actor Node Proxy {D} Sky [S] Volatile
\SceneGraph\Actors\SkyboxNode.cs                                  [P] Actor Node Proxy {D} Skybox [S] Volatile
\SceneGraph\Actors\ParticleEffectNode.cs                          [P] Actor Node Proxy {D} ParticleEffect [S] Volatile
\SceneGraph\Actors\DecalNode.cs                                   [P] Actor Node Proxy {D} Decal [S] Volatile
\SceneGraph\Actors\SpriteRenderNode.cs                            [P] Visual Controller {D} SpriteRender (F) RayCast (Billboard calc) [S] living
\SceneGraph\Actors\TextRenderNode.cs                              [P] Actor Node Proxy {D} TextRender [S] Volatile
\SceneGraph\Actors\TerrainNode.cs                                 [P] Resource Controller {D} Terrain (F) Delete (Data cleanup) [S] Volatile/Restorable
\SceneGraph\Actors\FoliageNode.cs                                 [P] Actor Node Proxy {D} Foliage [S] Volatile
\SceneGraph\Actors\NavMeshBoundsVolumeNode.cs                     [P] Volume Proxy {D} NavMeshBoundsVolume [S] Volatile
\SceneGraph\Actors\NavModifierVolumeNode.cs                       [P] Volume Proxy {D} NavModifierVolume [S] Volatile
\SceneGraph\Actors\NavLinkNode.cs                                 [P] Logic Controller {D} NavLink, LinkNode [S] Volatile
\SceneGraph\Actors\PostFxVolumeNode.cs                            [P] Volume Proxy {D} PostFxVolume [S] Volatile
\SceneGraph\Actors\BoxVolumeNode.cs                               [P] Geometry Controller {D} BoxVolume, SideLinkNode [S] Volatile
\SceneGraph\Actors\JointNode.cs                                   [P] Actor Node Proxy {D} Joint (F) PostConvert (Preserve targets) [S] Volatile
\SceneGraph\Actors\BoneSocketNode.cs                              [P] Actor Node Proxy {D} BoneSocket [S] Volatile
\SceneGraph\Actors\ClothNode.cs                                   [P] Actor Node Proxy {D} Cloth [S] Volatile
\SceneGraph\Actors\SceneAnimationPlayerNode.cs                    [P] Actor Node Proxy {D} SceneAnimationPlayer [S] Volatile
\SceneGraph\Actors\UICanvasNode.cs                                [P] UI Controller {D} UICanvas (F) PostSpawn (CanvasScaler) [S] living
\SceneGraph\Actors\UIControlNode.cs                               [P] UI Controller {D} UIControl (F) PostPaste (Layout update) [S] living
\SceneGraph\Actors\VideoPlayerEditor.cs                           [P] Component Editor {D} VideoPlayer (F) Play/Pause/Stop [S] Volatile UI
\SceneGraph\ISceneEditingContext.cs                               [P] Interface [S] N/A
\Content                                                          [P] Composite/Hierarchical {D} ContentDatabase, AssetProxy (F) Items -> Proxies -> Windows [S] Persistent (Disk-bound)
\EditorAssets.cs                                                  [P] Resource Registry {D} FlaxEngine.Content (F) Static Asset Path Access [S] Persistent/Immutable
\Content\Items\ContentItem.cs                                     [P] Base Entity {D} IContentItemOwner (F) AddReference -> RequestThumbnail [S] Managed Reference
\Content\Items\AssetItem.cs                                       [P] Abstract Entity {D} ContentItem (F) LoadAsync -> Reload [S] Persistent Reference
\Content\Items\ContentFolder.cs                                   [P] Composite {D} ContentFolderTreeNode, DragItems (F) FindChild -> OnDragDrop [S] Persistent Reference
\Content\Items\BinaryAssetItem.cs                                 [P] Entity {D} BinaryAsset [S] Persistent Reference
\Content\Items\JsonAssetItem.cs                                   [P] Entity [S] Persistent
\Content\Items\PrefabItem.cs                                      [P] Leaf Entity {D} PrefabManager [S] Persistent
\Content\Items\SceneItem.cs                                       [P] Leaf Entity {D} Level [S] Persistent
\Content\Items\ScriptItem.cs                                      [P] Abstract Entity {D} ScriptsBuilder (F) FilterScriptName -> MarkWorkspaceDirty [S] Persistent
\Content\Items\CSharpScriptItem.cs                                [P] Leaf Entity [S] Persistent
\Content\Items\CppScriptItem.cs                                   [P] Leaf Entity [S] Persistent
\Content\Items\VisualScriptItem.cs                                [P] Entity {D} VisualScriptType, VisualScript (F) OnEditorDrop -> CreateInstance [S] Persistent
\Content\Items\ShaderSourceItem.cs                                [P] Leaf Entity [S] Persistent
\Content\Items\VideoItem.cs                                       [P] Leaf Entity [S] Persistent
\Content\Items\FileItem.cs                                        [P] Leaf Entity [S] Persistent
\Content\Items\NewItem.cs                                         [P] Mock UI Entity {D} ContentProxy [S] Volatile
\Content\Proxy\ContentProxy.cs                                    [P] Proxy Base [S] Static
\Content\Proxy\AssetProxy.cs                                      [P] Abstract Factory Base {D} ThumbnailRequest (F) Open -> ConstructItem -> DrawThumbnail [S] Static
\Content\Proxy\BinaryAssetProxy.cs                                [P] Factory Proxy {D} BinaryAssetItem [S] Static
\Content\Proxy\JsonAssetProxy.cs                                  [P] Factory Proxy {D} JsonAssetWindow, GenericJsonCreateEntry [S] Static
\Content\Proxy\PrefabProxy.cs                                     [P] Asset Proxy {D} PrefabPreview, PrefabManager [S] Static
\Content\Proxy\SceneProxy.cs                                      [P] Asset Proxy {D} SceneModule (F) OpenScene [S] Static
\Content\Proxy\ScriptProxy.cs                                     [P] Template Base {D} CodeEditingModule [S] Static
\Content\Proxy\CSharpProxy.cs                                     [P] Template Factory {D} ProjectInfo (F) Create (Format Source) [S] Static
\Content\Proxy\CppProxy.cs                                        [P] Template Factory {D} ProjectInfo (F) Create (Format Header/Source) [S] Static
\Content\Proxy\VisualScriptProxy.cs                               [P] Registry Proxy {D} VisualScriptItem, TypeUtils [S] Static
\Content\Proxy\MaterialProxy.cs                                   [P] Asset Proxy {D} MaterialWindow [S] Static
\Content\Proxy\MaterialInstanceProxy.cs                           [P] Asset Proxy {D} MaterialInstanceWindow [S] Static
\Content\Proxy\MaterialBaseProxy.cs                               [P] Abstract Factory {D} MaterialPreview, MaterialInstance [S] Static
\Content\Proxy\MaterialFunctionProxy.cs                           [P] Asset Proxy {D} MaterialFunctionWindow [S] Static
\Content\Proxy\ModelProxy.cs                                      [P] Asset Proxy {D} ModelPreview, CollisionDataProxy [S] Static
\Content\Proxy\SkinnedModelProxy.cs                               [P] Asset Proxy {D} AnimatedModelPreview, AnimationGraph [S] Static
\Content\Proxy\AnimationProxy.cs                                  [P] Asset Proxy {D} AnimationWindow [S] Static
\Content\Proxy\AnimationGraphProxy.cs                             [P] Asset Proxy {D} AnimationGraphWindow [S] Static
\Content\Proxy\AnimationGraphFunctionProxy.cs                     [P] Asset Proxy {D} AnimationGraphFunctionWindow [S] Static
\Content\Proxy\ParticleSystemProxy.cs                             [P] Asset Proxy {D} ParticleSystemWindow, ParticleEmitterPreview [S] Static
\Content\Proxy\ParticleEmitterProxy.cs                            [P] Asset Proxy {D} ParticleEmitterPreview, ParticleSystem [S] Static
\Content\Proxy\ParticleEmitterFunctionProxy.cs                    [P] Asset Proxy {D} ParticleEmitterFunctionWindow [S] Static
\Content\Proxy\TextureProxy.cs                                    [P] Asset Proxy {D} SimpleTexturePreview [S] Static
\Content\Proxy\CubeTextureProxy.cs                                [P] Asset Proxy {D} CubeTexturePreview [S] Static
\Content\Proxy\SpriteAtlasProxy.cs                                [P] Asset Proxy {D} SimpleSpriteAtlasPreview [S] Static
\Content\Proxy\FontProxy.cs                                       [P] Asset Proxy [S] Static
\Content\Proxy\AudioClipProxy.cs                                  [P] Pool Proxy {D} AudioClipPreview [S] Static
\Content\Proxy\BehaviorTreeProxy.cs                               [P] Asset Proxy {D} BehaviorTreeWindow [S] Static
\Content\Proxy\GameplayGlobalsProxy.cs                            [P] Asset Proxy {D} GameplayGlobals [S] Static
\Content\Proxy\LocalizedStringTableProxy.cs                       [P] Asset Proxy {D} LocalizedStringTableWindow [S] Static
\Content\Proxy\SceneAnimationProxy.cs                             [P] Asset Proxy {D} SceneAnimationPlayer [S] Static
\Content\Proxy\CollisionDataProxy.cs                              [P] Utility Proxy {D} CookMeshCollision, MeshCollider [S] Static
\Content\Proxy\IESProfileProxy.cs                                 [P] Asset Proxy {D} IESProfilePreview [S] Static
\Content\Proxy\SkeletonMaskProxy.cs                               [P] Asset Proxy {D} SkeletonMaskWindow [S] Static
\Content\Proxy\VideoProxy.cs                                      [P] Asset Proxy {D} VideoWindow [S] Static
\Content\Proxy\ShaderProxy.cs                                     [P] Source Provider {D} Editor.GetShaderSourceCode [S] Static
\Content\Proxy\ShaderSourceProxy.cs                               [P] Template Factory [S] Static
\Content\Proxy\FileProxy.cs                                       [P] OS Handler {D} Platform.CreateProcess [S] Static
\Content\Proxy\SettingsProxy.cs                                   [P] Factory Proxy {D} SettingsCreateEntry [S] Static
\Content\Proxy\PreviewsCacheProxy.cs                              [P] Asset Proxy [S] Static
\Content\Thumbnails                                               [P] Render Pipeline (Service) {D} GPUTexture, RenderTask (F) Request -> Atlas.Occupy -> Render [S] Managed Cache
\Content\Thumbnails\ThumbnailsModule.cs                           [P] Service/Manager {D} RenderTask, PreviewsCache (F) OnInit -> RequestPreview -> OnRender -> Flush [S] Persistent Cache
\Content\Thumbnails\ThumbnailRequest.cs                           [P] Lifecycle Object {D} AssetItem, AssetProxy (F) Created -> Prepared -> Rendered [S] Volatile
\Content\PreviewsCache.cs                                         [P] Constants/Config {D} PixelFormat [S] Static Config
\Content\AssetItemConverter.cs                                    [P] JSON Serializer {D} AssetItem (F) WriteJson (Guid-format) [S] Static
\Content\AssetPickerValidator.cs                                  [P] State Filter {D} ScriptType (F) IsValid (Type/Ext check) -> OnSelectedItemChanged [S] Volatile
\Content\Create                                                   [P] Factory Branch {D} IFileEntryAction (F) Entry -> Dialog -> Execution [S] Volatile
\Content\IFileEntryAction.cs                                      [P] Command Interface (F) Execute [S] N/A
\Content\Create\CreateFileEntry.cs                                [P] Strategy/Command {D} IFileEntryAction (F) Execute -> Create [S] Volatile
\Content\Create\CreateFilesDialog.cs                              [P] View {D} CustomEditorPresenter, CreateFileEntry (F) Select -> OnSubmit [S] Volatile
\Content\Create\PrefabCreateEntry.cs                              [P] Factory Entry {D} PrefabManager (F) CreateInstance -> CreatePrefab [S] Static
\Content\Create\VisualScriptCreateEntry.cs                        [P] Factory Entry {D} Editor.CreateVisualScript [S] Static
\Content\Create\ParticleEmitterCreateEntry.cs                     [P] Factory Entry {D} ContentEditing.CloneAssetFile (F) Create (Template-based) [S] Static
\Content\Create\SettingsCreateEntry.cs                            [P] Linking Factory {D} GameSettings, SettingsProxy (F) Create -> SaveJson -> AutoLink [S] Persistent
\Content\Import                                                   [P] Adapter Pipeline {D} Engine.Import, Tools (F) Request -> Settings -> Engine Backend [S] Volatile
\Content\Import\ImportFileEntry.cs                                [P] Strategy Factory {D} Request (F) CreateEntry -> Execute [S] Volatile
\Content\Import\ImportFilesDialog.cs                              [P] View {D} ImportFileEntry, CustomEditorPresenter (F) OnSelectedChanged -> OnSubmit [S] Volatile
\Content\Import\AssetImportEntry.cs                               [P] Adapter {D} Editor.Import [S] Volatile
\Content\Import\ModelImportEntry.cs                               [P] Proxy Entry {D} ModelTool [S] Volatile
\Content\Import\TextureImportEntry.cs                             [P] Heuristic Entry {D} TextureTool (F) GuessFormat -> Import [S] Volatile
\Content\Import\AudioImportSettings.cs                            [P] DTO Proxy {D} AudioTool [S] Volatile
\Content\Import\FolderImportEntry.cs                              [P] Recursive Command {D} ContentImporting (F) CreateDir -> Import Children [S] Volatile
\Content\Import\Request.cs                                        [P] Data Container [S] Volatile
\Options                                                          [P] Serialized Config {D} JsonSerializer (F) Load -> Apply -> Save [S] Persistent (Disk-bound)
\Options\OptionsModule.cs                                         [P] Service/Orchestrator {D} EditorOptions, JsonSerializer (F) Load -> Apply -> Save [S] Persistent (Disk-bound)
\Options\EditorOptions.cs                                         [P] Root DTO {D} General/Visual/Input Options [S] Serializable
\Options\GeneralOptions.cs                                        [P] Data Model {D} StartupSceneModes [S] Serializable
\Options\InputOptions.cs                                          [P] Data Model [S] Serializable
\Options\InputBinding.cs                                          [P] Value Object {D} KeyboardKeys (F) TryParse -> Process [S] Serializable
\Options\InterfaceOptions.cs                                      [P] Data Model {D} FontReference [S] Serializable
\Options\SourceCodeOptions.cs                                     [P] Data Model {D} ISourceCodeEditor [S] Serializable
\Options\ThemeOptions.cs                                          [P] Data Model {D} Style [S] Serializable
\Options\ViewportOptions.cs                                       [P] Data Model [S] Serializable
\Options\VisualOptions.cs                                         [P] Data Model [S] Serializable
\Content\Settings                                                 [P] Configuration Models {D} GameCooker [S] Persistent Settings
\Content\Settings\BuildPreset.cs                                  [P] Data Model {D} BuildTarget [S] Persistent
\Content\Settings\BuildTarget.cs                                  [P] Data Model {D} BuildPlatform, BuildConfiguration [S] Persistent
\GUI                                                              [P] UI Framework (Retained-ish) {D} FlaxEngine.GUI, Style (F) OnMouseDown -> PerformLayout -> Draw [S] Volatile State
\EditorIcons.cs                                                   [P] Flyweight/Cache {D} SpriteAtlas, Reflection (F) LoadIcons (Reflection Field Mapping) [S] Persistent/In-Memory Cache
\GUI\WindowDecorations.cs                                         [P] Chrome {D} Window, Button (F) OnHitTest -> DrawBorders [S] Persistent (Window-linked)
\GUI\MainMenu.cs                                                  [P] Container {D} MainMenuButton (F) PerformLayout [S] Persistent
\GUI\MainMenuButton.cs                                            [P] Menu Trigger {D} ContextMenu (F) OnMouseDown -> Selected [S] Volatile
\GUI\ToolStrip.cs                                                 [P] Button Strip {D} ToolStripButton (F) PerformLayout [S] Persistent UI
\GUI\ToolStripButton.cs                                           [P] Command {D} SpriteHandle (F) Draw -> OnClicked [S] Volatile
\GUI\ToolStripSeparator.cs                                        [P] Visual Divider [S] Static
\GUI\StatusBar.cs                                                 [P] View {D} ContainerControl (F) Draw (Status/Line) [S] Persistent UI
\GUI\NavigationBar.cs                                             [P] Path View {D} ToolStrip, Panel (F) UpdateBounds -> Arrange [S] Volatile
\GUI\NavigationButton.cs                                          [P] Command {D} Button [S] Volatile
\GUI\Splitter.cs                                                  [P] Layout Tool {D} Control (F) OnMouseMove -> Moved [S] Volatile
\GUI\Table.cs                                                     [P] Data Grid {D} ColumnDefinition, Row (F) PerformLayout -> DrawColumn [S] Volatile
\GUI\Row.cs                                                       [P] Composite {D} Table (F) Draw -> OnMouseUp (Collapse) [S] Volatile
\GUI\ColumnDefinition.cs                                          [P] Descriptor (DTO) {D} Table (F) ClampColumnSize [S] Static Config
\GUI\Tabs\Tabs.cs                                                 [P] Navigation Container {D} TabHeader, TabsHeader (F) AddTab -> OnSelectedTabChanged [S] Volatile
\GUI\Tabs\Tab.cs                                                  [P] Page Leaf {D} Tabs [S] Volatile
\GUI\Tree\Tree.cs                                                 [P] Collection View {D} TreeNode (F) Select -> SelectRange -> Update [S] Volatile UI State
\GUI\Tree\TreeNode.cs                                             [P] Hierarchy Node {D} Tree, DragTracks (F) Expand -> OnDragDropHeader -> Draw [S] Volatile UI State
\GUI\Tree\TreeNodeWithAddons.cs                                   [P] Decorator {D} Control (F) OnMouseDown (Addons loop) [S] Volatile
